0.01	-0.0202
0.06	-0.0672
0.11	-0.1107
0.16	-0.15990000000000001
0.21	-0.2018
0.26	-0.2636
0.31	-0.30510000000000004
0.36	-0.34149999999999997
0.41	-0.3907
0.46	-0.42839999999999995
0.51	-0.4684
0.56	-0.5114
0.61	-0.5417000000000001
0.66	-0.5815
0.71	-0.609
0.76	-0.6435
0.81	-0.6707000000000001
0.86	-0.6933
0.91	-0.7249
0.96	-0.7424
1.01	-0.7630999999999999
1.06	-0.7854000000000001
1.11	-0.8007000000000001
1.16	-0.8229
1.21	-0.8365
1.26	-0.8527
1.31	-0.8645
1.36	-0.8817
1.41	-0.8861999999999999
1.46	-0.8958000000000002
1.51	-0.9098999999999999
1.56	-0.9154000000000002
1.61	-0.9222
1.66	-0.9313000000000001
1.71	-0.9389000000000002
1.76	-0.9416000000000001
1.81	-0.949
1.86	-0.9545
1.91	-0.9573
1.96	-0.9618999999999999
2.01	-0.9650999999999997
2.06	-0.9666
2.11	-0.9701999999999998
2.16	-0.9735
2.21	-0.9740999999999999
2.26	-0.9771
2.31	-0.9786999999999999
2.36	-0.9819
2.41	-0.9834999999999998
2.46	-0.9836
2.51	-0.9838
2.56	-0.9860999999999999
2.61	-0.9857
2.66	-0.9865
2.71	-0.9878999999999999
2.76	-0.9882
2.81	-0.9889999999999999
2.86	-0.9884000000000001
2.91	-0.9894
2.96	-0.9882000000000001
